Key,KR,EN,JA,ZH_CN,ZH_TW,RU
paletteAdd,팔레트 추가,Add palette,パレットを追加,添加调色板,新增調色盤,Добавить палитру
paletteDefaultName,팔레트 {0},Palette {0},パレット {0},调色板 {0},調色盤 {0},Палитра {0}
paletteAddHelp,이름과 색상을 정하면 이 작업공간에 팔레트가 저장됩니다.,Choose a name and color to save a palette in this workspace.,名前と色を指定するとこのワークスペースに保存されます。,设置名称和颜色后保存到当前工作区。,設定名稱和顏色後儲存至目前工作區。,Выберите имя и цвет для сохранения палитры в этом рабочем пространстве.
paletteInvalidName,이름을 1~80자로 입력해주세요.,Enter a name with 1 to 80 characters.,名前を1～80文字で入力してください。,请输入1至80个字符的名称。,請輸入1至80個字元的名稱。,Введите имя длиной от 1 до 80 символов.
paletteInvalidColor,색상을 #RRGGBB 형식으로 입력해주세요.,Enter a color in #RRGGBB format.,色を#RRGGBB形式で入力してください。,请以#RRGGBB格式输入颜色。,請以#RRGGBB格式輸入顏色。,Введите цвет в формате #RRGGBB.
paletteDuplicateName,같은 이름의 팔레트가 있습니다.,A palette with that name already exists.,同じ名前のパレットがあります。,已存在同名调色板。,已有相同名稱的調色盤。,Палитра с таким именем уже существует.
shortcutRoomMultiSelect,방 선택 추가·해제,Toggle room selection,部屋の選択を追加・解除,添加或取消房间选择,新增或取消房間選取,Добавить или убрать комнату из выбора
shortcutRoomGroupMove,선택한 방 함께 이동,Move selected rooms together,選択した部屋をまとめて移動,一起移动所选房间,一起移動所選房間,Переместить выбранные комнаты вместе
keyLeftClick,좌클릭,Left click,左クリック,左键点击,左鍵點擊,Левая кнопка мыши
selectedRooms,{0}개 방 선택,{0} rooms selected,{0}個の部屋を選択,已选择{0}个房间,已選取{0}個房間,Выбрано комнат: {0}
roomSelectionLocked,잠긴 방을 선택에서 해제하거나 잠금을 풀어주세요.,Unlock the selected rooms or remove locked rooms from the selection.,選択した部屋のロックを解除するか選択から外してください。,请解锁所选房间或取消选择已锁定的房间。,請解鎖所選房間或取消選取已鎖定的房間。,Разблокируйте выбранные комнаты или уберите заблокированные из выбора.
builtin.category.Decoration,장식,Decoration,装飾,装饰,裝飾,Декорации
builtin.category.Gameplay,게임플레이,Gameplay,ゲームプレイ,玩法,玩法,Игровые элементы
builtin.category.Triggers,트리거,Triggers,トリガー,触发器,觸發器,Триггеры
builtin.category.decalFolder,장식/{0},Decals/{0},装飾/{0},装饰/{0},裝飾/{0},Декорации/{0}
builtin.field.label,표시 이름,Label,表示名,显示名称,顯示名稱,Подпись
builtin.field.name,이름,Name,名前,名称,名稱,Название
builtin.field.player,플레이어,Player,プレイヤー,玩家,玩家,Игрок
builtin.field.tint,색조,Tint,色合い,色调,色調,Оттенок
builtin.missing,없음,Missing,なし,缺失,缺少,Отсутствует
builtin.object.Area,트리거 영역,Area,トリガー領域,触发区域,觸發區域,Область триггера
builtin.object.Decal,장식,Decal,装飾,装饰,裝飾,Декорация
builtin.object.Marker,표식,Marker,マーカー,标记,標記,Метка
builtin.object.Object,오브젝트,Object,オブジェクト,对象,物件,Объект
builtin.object.Path,경로,Path,パス,路径,路徑,Путь
builtin.object.Spawn,시작 지점,Spawn,開始地点,起始点,起始點,Точка появления
builtin.package.Built-in,기본 제공,Built-in,標準,内置,內建,Встроенное
builtin.package.Missing,없음,Missing,なし,缺失,缺少,Отсутствует
builtin.package.Project,프로젝트,Project,プロジェクト,项目,專案,Проект
roomJson.alias_device,원본 맵 보호를 위해 장치 경로에서는 방 파일을 덮어쓸 수 없습니다: {0},"To protect the source map, room files cannot be overwritten using a device path: {0}",元のマップを保護するため、デバイスパス経由での上書きはできません: {0},为保护源地图，不能通过设备路径覆盖房间文件：{0},為保護原始地圖，無法透過裝置路徑覆寫房間檔案：{0},Для защиты исходной карты перезапись через путь устройства запрещена: {0}
roomJson.alias_inspection_failed,"원본 맵을 보호할 수 있는 경로인지 확인하지 못해 덮어쓰기를 중단했습니다: {0}
{1}","Overwrite was stopped because the path could not be checked to protect the source map: {0}
{1}","元のマップを保護できるパスか確認できないため、上書きを中止しました: {0}
{1}","无法确认路径是否能保护源地图，已停止覆盖：{0}
{1}","無法確認路徑是否能保護原始地圖，已停止覆寫：{0}
{1}","Перезапись остановлена: не удалось проверить путь для защиты исходной карты: {0}
{1}"
roomJson.alias_reparse,원본 맵 보호를 위해 심볼릭 링크나 정션을 거치는 경로에서는 방 파일을 덮어쓸 수 없습니다: {0},"To protect the source map, room files cannot be overwritten through a symbolic link or junction: {0}",元のマップを保護するため、シンボリックリンクやジャンクション経由での上書きはできません: {0},为保护源地图，不能通过符号链接或目录联接覆盖房间文件：{0},為保護原始地圖，無法透過符號連結或目錄接合覆寫房間檔案：{0},Для защиты исходной карты перезапись через символическую ссылку или соединение каталогов запрещена: {0}
roomJson.aggregate_too_large,모든 방 JSON의 합계가 32MiB 제한을 초과합니다. 전역 메타데이터를 줄이거나 방을 나누어 내보내세요.,The combined room JSON output exceeds the 32 MiB limit. Reduce global metadata or export fewer rooms at a time.,部屋JSONの合計が32 MiBを超えています。共通メタデータを減らすか、書き出す部屋を分けてください。,房间 JSON 总大小超过 32 MiB。请减少全局元数据或分批导出。,房間 JSON 總大小超過 32 MiB。請減少全域中繼資料或分批匯出。,Общий размер JSON комнат превышает 32 МиБ. Сократите общие метаданные или экспортируйте меньше комнат за раз.
roomJson.choose_directory,방 JSON을 내보낼 폴더를 지정하세요.,Choose a folder for the room JSON files.,部屋JSONの保存先フォルダーを指定してください。,请选择房间 JSON 导出文件夹。,請選擇房間 JSON 匯出資料夾。,Выберите папку для JSON комнат.
roomJson.empty_map,내보낼 방이 없습니다.,There are no rooms to export.,書き出す部屋がありません。,没有可导出的房间。,沒有可匯出的房間。,Нет комнат для экспорта.
roomJson.exists,같은 이름의 파일이 이미 있습니다: {0},A file already exists at: {0},ファイルが既にあります: {0},文件已存在：{0},檔案已存在：{0},Файл уже существует: {0}
roomJson.failed,방 내보내기에 실패했습니다. 적용된 파일 변경은 복구했습니다: {0},Room export failed. Published file changes were rolled back: {0},部屋の書き出しに失敗しました。ファイル変更は元に戻しました: {0},房间导出失败，已回滚文件更改：{0},房間匯出失敗，已復原檔案變更：{0},Экспорт комнат не удался. Изменения файлов отменены: {0}
roomJson.failed_cleanup,"방 내보내기에 실패했지만 적용된 파일 변경은 복구했습니다: {0}
임시 폴더를 정리하지 못했습니다: {1}
{2}","Room export failed, but published file changes were rolled back: {0}
Could not remove the staging folder: {1}
{2}","書き出しに失敗しましたが、ファイル変更は元に戻しました: {0}
一時フォルダーを削除できませんでした: {1}
{2}","导出失败，但已回滚文件更改：{0}
无法删除暂存文件夹：{1}
{2}","匯出失敗，但已復原檔案變更：{0}
無法刪除暫存資料夾：{1}
{2}","Экспорт не удался, изменения файлов отменены: {0}
Не удалось удалить временную папку: {1}
{2}"
roomJson.invalid_map,맵 데이터가 올바르지 않아 방을 내보낼 수 없습니다: {0},Cannot export rooms because the map is invalid: {0},マップデータが無効なため、部屋を書き出せません: {0},地图数据无效，无法导出房间：{0},地圖資料無效，無法匯出房間：{0},Карта содержит некорректные данные. Экспорт невозможен: {0}
roomJson.invalid_shared_text,공유 맵 정보에 UTF-8로 저장할 수 없는 문자가 있습니다.,Shared map metadata contains text that cannot be saved as UTF-8.,共通マップ情報にUTF-8で保存できない文字が含まれています。,共享地图信息包含无法保存为 UTF-8 的文本。,共用地圖資訊包含無法儲存為 UTF-8 的文字。,"Общие метаданные карты содержат текст, который нельзя сохранить в UTF-8."
roomJson.invalid_text,'{0}' 방에 UTF-8로 저장할 수 없는 문자가 있습니다.,Room '{0}' contains text that cannot be saved as UTF-8.,部屋「{0}」にUTF-8で保存できない文字が含まれています。,房间“{0}”包含无法保存为 UTF-8 的文本。,房間「{0}」包含無法儲存為 UTF-8 的文字。,"Комната «{0}» содержит текст, который нельзя сохранить в UTF-8."
roomJson.not_directory,출력 폴더 경로에 파일이 있습니다: {0},The output folder path points to a file: {0},保存先フォルダーのパスがファイルを指しています: {0},输出文件夹路径指向文件：{0},輸出資料夾路徑指向檔案：{0},Путь папки экспорта указывает на файл: {0}
roomJson.not_file,출력 파일 경로에 폴더가 있습니다: {0},An output file path points to a folder: {0},保存先ファイルのパスがフォルダーを指しています: {0},输出文件路径指向文件夹：{0},輸出檔案路徑指向資料夾：{0},Путь выходного файла указывает на папку: {0}
roomJson.protected_source,현재 원본 맵 파일은 덮어쓸 수 없습니다: {0},The current source map file cannot be overwritten: {0},現在の元マップファイルは上書きできません: {0},不能覆盖当前源地图文件：{0},無法覆寫目前的原始地圖檔案：{0},Нельзя перезаписать текущую исходную карту: {0}
roomJson.restore_failed,"파일 복구 실패: {0}
{1}","Could not restore file: {0}
{1}","ファイルを復元できませんでした: {0}
{1}","无法恢复文件：{0}
{1}","無法復原檔案：{0}
{1}","Не удалось восстановить файл: {0}
{1}"
roomJson.rollback_failed,"방 내보내기와 일부 파일 복구에 실패했습니다. 복구용 원본은 다음 임시 폴더에 보존했습니다: {0}
{1}","Room export and some file restorations failed. Recovery originals were retained in this staging folder: {0}
{1}","書き出しと一部ファイルの復元に失敗しました。復旧用の元ファイルは次の一時フォルダーに残しています: {0}
{1}","导出及部分文件恢复失败。恢复用原文件保留在此暂存文件夹中：{0}
{1}","匯出及部分檔案復原失敗。復原用原始檔案保留在此暫存資料夾中：{0}
{1}","Экспорт и восстановление части файлов не удались. Оригиналы для восстановления оставлены в папке: {0}
{1}"
roomJson.saved_cleanup,"방 JSON {0}개 저장은 완료했습니다. 임시 백업 폴더를 정리하지 못했습니다: {1}
{2}","All {0} room JSON files were saved. Could not remove the temporary backup folder: {1}
{2}","部屋JSON {0}個を保存しました。一時バックアップフォルダーを削除できませんでした: {1}
{2}","已保存 {0} 个房间 JSON。无法删除临时备份文件夹：{1}
{2}","已儲存 {0} 個房間 JSON。無法刪除暫時備份資料夾：{1}
{2}","Все JSON комнат ({0}) сохранены. Не удалось удалить временную папку резервных копий: {1}
{2}"
roomJson.too_large,'{0}' 방 JSON이 32MiB 제한을 초과합니다.,The JSON for room '{0}' exceeds the 32 MiB limit.,部屋「{0}」のJSONが32 MiBを超えています。,房间“{0}”的 JSON 超过 32 MiB。,房間「{0}」的 JSON 超過 32 MiB。,JSON комнаты «{0}» превышает 32 МиБ.
external.brand,Metroidvania Studio,Metroidvania Studio,Metroidvania Studio,Metroidvania Studio,Metroidvania Studio,Metroidvania Studio
external.file,파일,File,ファイル,文件,檔案,Файл
external.new,새 맵,New map,新しいマップ,新建地图,新增地圖,Новая карта
external.open,맵 열기,Open map,マップを開く,打开地图,開啟地圖,Открыть карту
external.save,맵 저장,Save map,マップを保存,保存地图,儲存地圖,Сохранить карту
external.saveAs,맵 다른 이름으로 저장,Save map as,マップを別名で保存,地图另存为,地圖另存新檔,Сохранить карту как
external.export,방별 JSON 내보내기,Export rooms JSON,部屋のJSONを書き出す,导出房间 JSON,匯出房間 JSON,Экспорт комнат в JSON
external.editor,맵 편집,Map editor,マップ編集,地图编辑,地圖編輯,Редактор карты
external.minimap,미니맵,MiniMap,ミニマップ,小地图,小地圖,Мини-карта
external.popout,별도 창,Open separate view,別ウィンドウで開く,在独立窗口打开,在獨立視窗開啟,Открыть в отдельном окне
external.inspector,속성,Inspector,プロパティ,属性,屬性,Свойства
external.rooms,방,Rooms,部屋,房间,房間,Комнаты
external.tools,도구,Tools,ツール,工具,工具,Инструменты
external.palette,팔레트,Palette,パレット,调色板,調色盤,Палитра
external.layers,레이어,Layers,レイヤー,图层,圖層,Слои
external.addRoomHere,여기에 방 생성,Create room here,ここに部屋を作成,在此创建房间,在此建立房間,Создать комнату здесь
external.addRoomPlacementHelp,다른 방과 겹치면 기존 방은 그대로 두고 새 방만 가까운 빈자리로 이동합니다.,"If rooms would overlap, only the new room moves to a nearby free position.",他の部屋と重なる場合、新しい部屋だけを近くの空き位置に移動します。,如果与其他房间重叠，仅将新房间移到附近的空位。,如果與其他房間重疊，僅將新房間移到附近的空位。,При пересечении с другими комнатами только новая комната сдвигается на ближайшее свободное место.
external.addRoom,방 추가,Add room,部屋を追加,添加房间,新增房間,Добавить комнату
external.fit,전체 보기,Fit map,マップ全体を表示,显示整个地图,顯示整張地圖,Показать всю карту
external.frameRoom,방 보기,Frame room,部屋を表示,显示当前房间,顯示目前房間,Показать комнату
external.camera,게임 시야,Game view,ゲーム表示,游戏视野,遊戲視野,Игровой вид
external.grid,격자,Grid,グリッド,网格,格線,Сетка
external.names,방 이름,Room names,部屋名,房间名称,房間名稱,Названия комнат
external.search,검색…,Search…,検索…,搜索…,搜尋…,Поиск…
external.name,이름,Name,名前,名称,名稱,Название
external.width,너비,Width,幅,宽度,寬度,Ширина
external.height,높이,Height,高さ,高度,高度,Высота
external.visible,보이기,Visible,表示,显示,顯示,Видимость
external.locked,잠금,Locked,ロック,锁定,鎖定,Блокировка
external.properties,사용자 속성,Custom properties,カスタムプロパティ,自定义属性,自訂屬性,Пользовательские свойства
external.apply,적용,Apply,適用,应用,套用,Применить
external.cancel,취소,Cancel,キャンセル,取消,取消,Отмена
external.close,닫기,Close,閉じる,关闭,關閉,Закрыть
external.undo,실행 취소,Undo,元に戻す,撤销,復原,Отменить
external.redo,다시 실행,Redo,やり直す,重做,重做,Повторить
external.delete,삭제,Delete,削除,删除,刪除,Удалить
external.copy,복사,Copy,コピー,复制,複製,Копировать
external.cut,잘라내기,Cut,切り取り,剪切,剪下,Вырезать
external.paste,붙여넣기,Paste,貼り付け,粘贴,貼上,Вставить
external.selectAll,모두 선택,Select all,すべて選択,全选,全選,Выделить всё
external.brush,브러시 크기,Brush size,ブラシサイズ,笔刷大小,筆刷大小,Размер кисти
external.filled,내부 채우기,Filled,内側を塗る,填充内部,填滿內部,Заливка
external.shape,타일 모양,Tile shape,タイル形状,图块形状,圖塊形狀,Форма тайла
external.group,그룹,Group,グループ,分组,群組,Группа
